Overall,Team,Player,Nat.,Pos,Age,Start,End,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,PS
161,Colorado Avalanche,Nathan Clurman\clurmna01,US,D,18,2016,,Culver Academy (High-IN),,,,,,,,,,,,,
162,New Jersey Devils,Jesper Bratt\brattje01,SE,W,18,2016,2022,AIK (Sweden-2),307,70,133,203,-26,54,,,,,,,18.9
163,Ottawa Senators,Markus Nurmi\nurmima01,FI,RW,18,2016,,TPS Jr. (Finland-Jr.),,,,,,,,,,,,,
164,Carolina Hurricanes,Noah Carroll\carrono01,CA,D,18,2016,,Guelph (OHL),,,,,,,,,,,,,
165,Boston Bruins,Oskar Steen\steenos01,SE,C,18,2016,2022,Farjestad Jr. (Sweden-Jr.),23,2,4,6,-2,8,,,,,,,0.3
166,Calgary Flames,Matthew Phillips\phillma01,CA,C,18,2016,2021,Victoria (WHL),1,0,0,0,0,0,,,,,,,0
167,Detroit Red Wings,Filip Larsson\larssfi01,SE,G,18,2016,,Djurgarden Jr. (Sweden-Jr.),,,,,,,,,,,,,
168,Nashville Predators,Konstantin Volkov\volkoko02,RU,G,18,2016,,SKA St. Petersburg 2 (Russia-Jr.),,,,,,,,,,,,,
169,Philadelphia Flyers,Tanner Laczynski\laczyta01,US,C,19,2016,2022,Lincoln (USHL),6,0,0,0,0,0,,,,,,,-0.1
170,New York Islanders,Collin Adams\adamsco01,US,LW,18,2016,,Muskegon (USHL),,,,,,,,,,,,,
171,New York Rangers,Gabriel Fontaine\fontaga01,CA,C,19,2016,,Rouyn-Noranda (QMJHL),,,,,,,,,,,,,
172,Philadelphia Flyers,Anthony Salinitri\salinan01,CA,C,18,2016,,Sarnia (OHL),,,,,,,,,,,,,
173,Chicago Blackhawks,Blake Hillman\hillmbl01,US,D,20,2016,2018,Denver (NCHC),4,1,0,1,-1,0,,,,,,,0.2
174,New York Rangers,Tyler Wall\wallty01,CA,G,18,2016,,Leamington (GOJHL),,,,,,,,,,,,,
175,Florida Panthers,Maxim Mamin\maminma01,RU,C/RW,21,2016,2022,CSKA (Russia),73,10,8,18,8,25,,,,,,,1.5
176,Dallas Stars,Jakob Stenqvist\stenqja01,SE,D,18,2016,,Modo Jr. (Sweden-Jr.),,,,,,,,,,,,,
177,Washington Capitals,Chase Priskie\priskch01,US,D,20,2016,,Quinnipiac (ECAC),,,,,,,,,,,,,
178,Tampa Bay Lightning,Oleg Sosunov\sosunol01,RU,D,18,2016,,Loko-Yunior Yaroslav (Russia-Jr.),,,,,,,,,,,,,
179,Toronto Maple Leafs,Nicolas Mattinen\mattini01,CA,D,18,2016,,London (OHL),,,,,,,,,,,,,
180,San Jose Sharks,Mark Shoemaker\shoemma01,CA,D,18,2016,,North Bay (OHL),,,,,,,,,,,,,
181,Pittsburgh Penguins,Joseph Masonius\masonjo01,US,D,19,2016,,Connecticut (H-East),,,,,,,,,,,,,
182,Toronto Maple Leafs,Nikolai Chebykin\chebyni01,RU,LW,19,2016,,MVD Balashikha 2 (Russia),,,,,,,,,,,,,
183,Edmonton Oilers,Vincent Desharnais\deshavi01,CA,D,20,2016,,Providence (H-East),,,,,,,,,,,,,
184,Vancouver Canucks,Rodrigo Abols\abolsro01,LV,C,20,2016,,Portland (WHL),,,,,,,,,,,,,
185,Columbus Blue Jackets,Calvin Thurkauf\thurkca01,CH,C,19,2016,2020,Kelowna (WHL),3,0,0,0,0,0,,,,,,,0
186,Calgary Flames,Stepan Falkovsky\falkost01,BY,D,19,2016,,Ottawa (OHL),,,,,,,,,,,,,
187,Montreal Canadiens,Arvid Henrikson\henriar01,SE,D,18,2016,,AIK U18 (Sweden-Jr.),,,,,,,,,,,,,
188,Arizona Coyotes,Dean Stewart\stewade01,CA,D,18,2016,,Portage (MJHL),,,,,,,,,,,,,
189,Buffalo Sabres,Austin Osmanski\osmanau01,US,D,18,2016,,Mississauga (OHL),,,,,,,,,,,,,
190,Buffalo Sabres,Vasily Glotov\glotova01,RU,C,19,2016,,Lvy St. Petersburg 2 (Russia-Jr.),,,,,,,,,,,,,
191,Colorado Avalanche,Travis Barron\barrotr01,CA,LW,18,2016,,Ottawa (OHL),,,,,,,,,,,,,
192,New Jersey Devils,Jeremy Davies\davieje01,CA,D,19,2016,2022,Bloomington (USHL),22,0,3,3,-2,10,,,,,,,0.5
193,New York Islanders,Nick Pastujov\pastuni01,US,LW,18,2016,,USA U-18 (USHL),,,,,,,,,,,,,
194,Vancouver Canucks,Brett McKenzie\mckenbr02,CA,C,19,2016,,North Bay (OHL),,,,,,,,,,,,,
195,Florida Panthers,Benjamin Finkelstein\finkebe01,US,D,18,2016,,Kimball Union (NEPSAC),,,,,,,,,,,,,
196,Minnesota Wild,Dmitry Sokolov\sokoldm01,RU,RW,18,2016,,Sudbury (OHL),,,,,,,,,,,,,
197,Detroit Red Wings,Mattias Elfstrom\elfstma01,SE,LW,19,2016,,Malmo Jr. (Sweden),,,,,,,,,,,,,
