Overall,Team,Player,Nat.,Pos,Age,Start,End,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,PS,Group
155,St. Louis Blues,Keean Washkurak\washkke01,CA,C,18,2019,,Mississauga Steelheads (OHL),,,,,,,,,,,,,,
156,Vancouver Canucks,Arturs Silovs\silovar01,LV,G,18,2019,,RIGA 2 (Russia-Jr.),,,,,,,,,,,,,,
157,Los Angeles Kings,Braden Doyle\doylebr01,US,D,18,2019,,Lawrence Academy (High-MA),,,,,,,,,,,,,,
158,New Jersey Devils,Patrick Moynihan\moynipa01,US,RW,18,2019,,USA U-18 (U.S. NTDP),,,,,,,,,,,,,,
159,Detroit Red Wings,Elmer Soderblom\soderel01,SE,RW,18,2019,,Frolunda Jr. (Sweden-Jr.),,,,,,,,,,,,,,
160,Buffalo Sabres,Lukas Rousek\rouselu01,CZ,RW,20,2019,,Sparta (Czech),,,,,,,,,,,,,,
161,New York Rangers,Adam Edstrom\edstrad01,SE,C,18,2019,,Mora Jr. (Sweden-Jr.),,,,,,,,,,,,,,
162,Edmonton Oilers,Tomas Mazura\mazurto01,CZ,C,18,2019,,Kimball Union (High-NH),,,,,,,,,,,,,,
163,Anaheim Ducks,William Francis\francwi01,US,D,18,2019,,Cedar Rapids (USHL),,,,,,,,,,,,,,
164,San Jose Sharks,Timur Ibragimov\ibragti01,RU,LW,18,2019,,SKA St. Petersburg 2 (Russia-Jr.),,,,,,,,,,,,,,
165,Philadelphia Flyers,Egor Serdyuk\serdyeg01,RU,RW,18,2019,,Victoriaville Tigres (QMJHL),,,,,,,,,,,,,,
166,Minnesota Wild,Marshall Warren\warrema01,US,D,18,2019,,USA U-18 (U.S. NTDP),,,,,,,,,,,,,,
167,Chicago Blackhawks,Dominic Basse\bassedo01,US,G,18,2019,,Selects U18 - South Kent School (HIGH-CT),,,,,,,,,,,,,,
168,Florida Panthers,Greg Meireles\meiregr01,CA,C,20,2019,,Kitchener Rangers (OHL),,,,,,,,,,,,,,
169,Philadelphia Flyers,Roddy Ross\rossro01,CA,G,19,2019,,Seattle Thunderbirds (WHL),,,,,,,,,,,,,,
170,Montreal Canadiens,Arsen Khisamutdinov\khisaar01,RU,C,21,2019,,Nizhnekamsk 2 (Russia-Jr.),,,,,,,,,,,,,,
171,Colorado Avalanche,Luka Burzan\burzalu01,CA,RW,19,2019,,Brandon Wheat Kings (WHL),,,,,,,,,,,,,,
172,Minnesota Wild,Nikita Nesterenko\nesteni02,US,C,18,2019,,Lawrenceville (HIGH-NJ),,,,,,,,,,,,,,
173,Dallas Stars,Benjamin Brinkman\brinkbe01,US,D,18,2019,,Minnesota-Duluth (Big Ten),,,,,,,,,,,,,,
174,Arizona Coyotes,Danil Savunov\savunda01,RU,LW,18,2019,,Penza (RUSSIA-2),,,,,,,,,,,,,,
175,Vancouver Canucks,Karel Plasek\plaseka01,CZ,RW,19,2019,,Brno (Czech),,,,,,,,,,,,,,
176,Arizona Coyotes,Anthony Romano\romanan01,CA,C,18,2019,,Sioux Falls (USHL),,,,,,,,,,,,,,
177,Detroit Red Wings,Gustav Berglund\berglgu01,SE,D,18,2019,,Frolunda U18 (Sweden-Jr.),,,,,,,,,,,,,,
178,New York Islanders,Felix Bibeau\bibeafe01,CA,C,20,2019,,Rouyn-Noranda Huskies (QMJHL),,,,,,,,,,,,,,
179,Nashville Predators,Isak Walther\walthis01,SE,RW,18,2019,,Sodertalje U18 (Sweden-Jr.),,,,,,,,,,,,,,
180,Vancouver Canucks,Jack Malone\malonja01,US,RW,18,2019,,Youngstown (USHL),,,,,,,,,,,,,,
181,Carolina Hurricanes,Kevin Wall\wallke01,US,RW,19,2019,,Chilliwack (BCHL),,,,,,,,,,,,,,
182,Tampa Bay Lightning,Quinn Schmiemann\schmiqu01,CA,D,18,2019,,Kamloops Blazers (WHL),,,,,,,,,,,,,,
183,Carolina Hurricanes,Blake Murray\murrabl01,CA,C,18,2019,,Sudbury Wolves (OHL),,,,,,,,,,,,,,
184,San Jose Sharks,Santeri Hatakka\hataksa01,FI,D,18,2019,2022,Jokerit Jr. (Finland-Jr.),9,0,2,2,-5,2,,,,,,,0,
185,Boston Bruins,Matias Mantykivi\mantyma01,FI,C,18,2019,,Saipa Jr. (Finland-Jr.),,,,,,,,,,,,,,
186,Anaheim Ducks,Mathew Hill\hillma01,CA,D,18,2019,,Barrie Colts (OHL),,,,,,,,,,,,,,
187,Ottawa Senators,Maxence Guenette\guenema01,CA,D,18,2019,,Val-d'Or Foreurs (QMJHL),,,,,,,,,,,,,,
188,Los Angeles Kings,Andre Lee\leean02,SE,LW,19,2019,,Sioux Falls (USHL),,,,,,,,,,,,,,
189,New Jersey Devils,Nikola Pasic\pasicni01,SE,RW,18,2019,,Linkoping Jr. (Sweden-Jr.),,,,,,,,,,,,,,
190,Detroit Red Wings,Kirill Tyutyayev\tyutyki01,RU,LW,19,2019,,Yekaterinburg 2 (Russia-Jr.),,,,,,,,,,,,,,
191,Detroit Red Wings,Carter Gylander\gylanca01,CA,G,18,2019,,Sherwood Park (AJHL),,,,,,,,,,,,,,
192,Boston Bruins,Jake Schmaltz\schmaja01,US,LW,18,2019,,Chicago (USHL),,,,,,,,,,,,,,
193,Edmonton Oilers,Maxim Denezhkin\denezma01,RU,C,18,2019,,Yaroslaval 2 (Russia-Jr.),,,,,,,,,,,,,,
194,Chicago Blackhawks,Cole Moberg\moberco01,CA,D,18,2019,,Prince George Cougars (WHL),,,,,,,,,,,,,,
